#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-03-14 16:41:51"
#data_read_from_db	"2018-03-14 20:45:51"
#database_id	1695
#datapoints_in_db	122947
#database_reference_id	0
#integrated_value	0.23	6.3
#sample_label	"pvc-green0"
#sample_name	"Hobbycolor_Guttagliss_green_(PVC)"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-tizian|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=18 poweron=8435 [h] last_change=7304 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	58.1579	210
#intheta	58.1579
#inphi	210
#front_integral	0.229
#incident_and_front_integral	58.1579	210	0.229
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	121969
#format: theta	phi	[uA]

79.63092	-173.97630	7.149e-03

79.55995	-174.11334	7.207e-03

79.48977	-174.24971	7.262e-03

79.41718	-174.39076	7.324e-03

79.34866	-174.52431	7.370e-03

79.27382	-174.67087	7.434e-03

79.20940	-174.79848	7.517e-03

79.13943	-174.93613	7.589e-03

79.06190	-175.08983	7.639e-03

78.99352	-175.22614	7.694e-03

78.92980	-175.35266	7.765e-03

78.85664	-175.49982	7.843e-03

78.78815	-175.63721	7.896e-03

78.71983	-175.77470	7.958e-03

78.64657	-175.92444	8.001e-03

78.58241	-176.05376	8.079e-03

78.51017	-176.20221	8.136e-03

78.44194	-176.34164	8.202e-03

78.36831	-176.49196	8.276e-03

78.30043	-176.63235	8.313e-03

78.23708	-176.76364	8.376e-03

78.16834	-176.90657	8.426e-03

78.08193	-177.08655	8.476e-03

78.02469	-177.20662	8.563e-03

77.96209	-177.33759	8.620e-03

77.88926	-177.49100	8.684e-03

77.82271	-177.63290	8.754e-03

77.73356	-177.83307	8.820e-03

77.68361	-177.92876	8.895e-03

77.61529	-178.07492	8.954e-03

77.48283	-178.36136	9.043e-03

77.41634	-178.50554	9.159e-03

77.34229	-178.66690	9.224e-03

77.21397	-178.94737	9.316e-03

77.14533	-179.09973	9.369e-03

77.07407	-179.25627	9.444e-03

77.00768	-179.40500	9.503e-03

76.93630	-179.56409	9.561e-03

76.87623	-179.69907	9.635e-03

76.81111	-179.84662	9.689e-03

76.74566	-179.99437	9.777e-03

76.67986	179.85622	9.839e-03

76.60913	179.69492	9.876e-03

76.54440	179.54680	9.931e-03

76.45811	179.33655	1.006e-02

76.40826	179.23367	1.011e-02

76.34425	179.08443	1.018e-02

76.28329	178.94211	1.025e-02

76.21741	178.77679	1.032e-02

76.15089	178.63260	1.039e-02

76.07561	178.45517	1.047e-02

76.01730	178.31703	1.054e-02

75.95314	178.16531	1.059e-02

75.88977	178.01352	1.064e-02

75.82063	177.84735	1.073e-02

75.75726	177.69374	1.081e-02

75.69794	177.55025	1.089e-02

75.63400	177.39471	1.095e-02

75.56278	177.22076	1.104e-02

75.50049	177.06737	1.109e-02

75.43685	176.91133	1.115e-02

75.37828	176.76637	1.122e-02

75.31519	176.60934	1.128e-02

75.24554	176.43390	1.137e-02

75.18880	176.29245	1.144e-02

75.12135	176.12218	1.153e-02

75.06358	175.97501	1.162e-02

74.99830	175.80919	1.168e-02

74.93747	175.65291	1.177e-02

74.87355	175.47278	1.184e-02

74.80800	175.31819	1.192e-02

74.75314	175.17439	1.200e-02

74.68137	174.98615	1.206e-02

74.62405	174.83553	1.213e-02

74.56451	174.67757	1.218e-02

74.50877	174.52840	1.229e-02

74.44485	174.35797	1.236e-02

74.38622	174.19962	1.244e-02

74.32301	174.02814	1.252e-02

74.26306	173.86459	1.259e-02

74.20441	173.70337	1.266e-02

74.14606	173.54276	1.273e-02

74.08806	173.38124	1.279e-02

74.02511	173.20572	1.286e-02

73.96729	173.04308	1.294e-02

73.90982	172.87955	1.303e-02

73.85259	172.71811	1.309e-02

73.79156	172.54358	1.316e-02

73.73418	172.37715	1.323e-02

73.68121	172.22432	1.333e-02

73.62128	172.04858	1.342e-02

73.56080	171.87099	1.352e-02

73.51022	171.72034	1.358e-02

73.45497	171.55559	1.364e-02

73.38979	171.36101	1.371e-02

73.34240	171.21657	1.385e-02

73.28555	171.04393	1.391e-02

73.23126	170.87773	1.398e-02

73.17646	170.70892	1.406e-02

73.11858	170.52925	1.414e-02

73.06541	170.36263	1.423e-02

73.01264	170.19511	1.430e-02

72.95560	170.01262	1.435e-02

72.90276	169.84233	1.442e-02

72.85107	169.67517	1.453e-02

72.79938	169.50626	1.463e-02

72.74805	169.33719	1.472e-02

72.68773	169.13724	1.478e-02

72.64488	168.99364	1.485e-02

72.59064	168.81158	1.493e-02

72.54086	168.64198	1.500e-02

72.48672	168.45639	1.506e-02

72.43690	168.28471	1.511e-02

72.39101	168.12468	1.519e-02

72.33936	167.94205	1.530e-02

72.29079	167.76924	1.541e-02

72.24262	167.59631	1.550e-02

72.19117	167.40910	1.558e-02

72.14384	167.23592	1.568e-02

72.09693	167.06258	1.576e-02

72.04649	166.87329	1.584e-02

71.99505	166.67877	1.594e-02

71.95724	166.53601	1.603e-02

71.90895	166.34810	1.612e-02

71.86382	166.17249	1.619e-02

71.81903	165.99750	1.631e-02

71.77103	165.80574	1.635e-02

71.72987	165.64146	1.644e-02

71.67973	165.43758	1.650e-02

71.63549	165.23682	1.656e-02

71.59431	165.08496	1.663e-02

71.55128	164.90427	1.669e-02

71.50983	164.72617	1.673e-02

71.46484	164.53258	1.678e-02

71.41941	164.31355	1.685e-02

71.38648	164.18906	1.695e-02

71.34616	164.00793	1.703e-02

71.30022	163.79874	1.711e-02

71.26405	163.63416	1.717e-02

71.22549	163.45360	1.724e-02

71.18696	163.27277	1.734e-02

71.14588	163.07504	1.750e-02

71.10806	162.89233	1.760e-02

71.06776	162.69661	1.767e-02

71.03195	162.51642	1.777e-02

70.99839	162.34706	1.790e-02

70.95657	162.13251	1.799e-02

70.92620	161.97328	1.804e-02

70.88936	161.78053	1.810e-02

70.85291	161.58208	1.819e-02

70.81847	161.39595	1.824e-02

70.78516	161.21158	1.832e-02

70.75350	161.03471	1.832e-02

70.71252	160.79820	1.834e-02

70.68562	160.64175	1.841e-02

70.65372	160.45200	1.852e-02

70.62047	160.25099	1.858e-02

70.59215	160.07965	1.865e-02

70.56236	159.89467	1.873e-02

70.53301	159.70717	1.882e-02

70.50146	159.50322	1.891e-02

