#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-03-21 12:27:15"
#data_read_from_db	"2018-03-21 13:08:09"
#database_id	1805
#datapoints_in_db	127652
#database_reference_id	0
#integrated_value	0.22	6.3
#sample_label	"layer_020_030"
#sample_name	"Layered:_#20_on_top_of_#30"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-tizian|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=18 poweron=8435 [h] last_change=131 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	31.3158	0
#intheta	31.3158
#inphi	0
#front_integral	0.221
#incident_and_front_integral	31.3158	0	0.221
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	126567
#format: theta	phi	[uA]
86.98144	31.14526	7.358e-05
86.96014	31.10718	7.018e-05
86.93420	31.05993	6.597e-05
86.91286	31.02185	7.696e-05
86.88815	30.97672	7.790e-05
86.86482	30.93513	7.439e-05
86.84203	30.89353	7.208e-05
86.81989	30.85334	7.463e-05
86.79585	30.81035	7.695e-05
86.77049	30.76525	8.115e-05
86.74898	30.72649	7.580e-05
86.72162	30.67788	6.850e-05
86.70105	30.63766	7.208e-05
86.67525	30.59475	7.516e-05
86.65170	30.55248	8.345e-05
86.62812	30.51021	7.154e-05
86.60588	30.47078	6.712e-05
86.57902	30.42289	7.143e-05
86.55601	30.38133	7.621e-05
86.53378	30.34262	7.957e-05
86.50808	30.29614	7.140e-05
86.48440	30.25389	7.164e-05
86.45446	30.19752	6.898e-05
86.43438	30.16521	7.452e-05
86.41071	30.12369	8.507e-05
86.38825	30.08357	6.973e-05
86.36380	30.03993	7.181e-05
86.33052	29.97867	7.641e-05
86.31490	29.95339	7.655e-05
86.29044	29.91048	7.117e-05
86.26591	29.86686	7.310e-05
86.24049	29.81969	7.565e-05
86.21623	29.77965	7.124e-05
86.19171	29.73676	6.817e-05
86.16711	29.69315	7.473e-05
86.14055	29.64675	7.450e-05
86.11597	29.60387	7.062e-05
86.09193	29.56097	7.338e-05
86.06475	29.51460	6.594e-05
86.03936	29.46960	7.541e-05
86.01664	29.42953	7.590e-05
85.98789	29.37893	7.970e-05
85.96596	29.34171	6.781e-05
85.93911	29.29390	7.577e-05
85.91570	29.25315	6.657e-05
85.88956	29.20748	7.072e-05
85.86479	29.16464	6.619e-05
85.83535	29.11408	7.077e-05
85.81243	29.07332	7.187e-05
85.78698	29.02979	7.378e-05
85.76035	28.97984	7.786e-05
85.73512	28.93918	7.374e-05
85.70955	28.89495	8.254e-05
85.68395	28.85072	7.099e-05
85.65897	28.80718	8.189e-05
85.63340	28.76367	7.418e-05
85.60629	28.71592	7.682e-05
85.58265	28.67521	7.779e-05
85.55633	28.63031	8.173e-05
85.53056	28.58538	8.292e-05
85.50356	28.53979	7.205e-05
85.47839	28.49556	8.040e-05
85.44926	28.44575	7.948e-05
85.42417	28.40296	9.978e-05
85.39838	28.35876	1.146e-04
85.37051	28.31107	1.459e-04
85.34460	28.26616	1.655e-04
85.31868	28.22126	2.053e-04
85.29357	28.17920	2.274e-04
85.26225	28.12591	2.688e-04
85.24029	28.08732	3.359e-04
85.21167	28.03895	3.720e-04
85.18508	27.99409	4.235e-04
85.15912	27.94992	4.815e-04
85.12591	27.89026	5.458e-04
85.10365	27.85528	5.939e-04
85.07755	27.81041	6.546e-04
85.05229	27.76838	7.202e-04
85.02552	27.72282	7.847e-04
84.99738	27.67517	8.481e-04
84.97121	27.63031	9.135e-04
84.94175	27.58128	9.798e-04
84.91426	27.53505	1.047e-03
84.88804	27.49019	1.110e-03
84.85973	27.44184	1.176e-03
84.83489	27.39981	1.204e-03
84.80533	27.35080	1.215e-03
84.77974	27.30737	1.242e-03
84.74692	27.24916	1.261e-03
84.72388	27.21424	1.274e-03
84.69473	27.16451	1.302e-03
84.66707	27.11829	1.321e-03
84.64140	27.07487	1.336e-03
84.61298	27.02726	1.344e-03
84.58318	26.97756	1.366e-03
84.55753	26.93487	1.382e-03
84.52769	26.88517	1.403e-03
84.50049	26.83895	1.416e-03
84.47276	26.79347	1.432e-03
84.44006	26.73888	1.449e-03
84.41496	26.69689	1.470e-03
84.38848	26.65280	1.478e-03
84.35707	26.60031	1.489e-03
84.32926	26.55485	1.512e-03
84.30338	26.51146	1.532e-03
84.27328	26.46107	1.552e-03
84.24534	26.41490	1.563e-03
84.21215	26.35746	1.582e-03
84.18599	26.31770	1.596e-03
84.15799	26.27153	1.611e-03
84.13135	26.22747	1.623e-03
84.10121	26.17781	1.642e-03
84.07308	26.13094	1.659e-03
84.04224	26.08060	1.661e-03
84.01561	26.03726	1.684e-03
83.98670	25.98899	1.695e-03
83.95646	25.93935	1.702e-03
83.92612	25.88899	1.717e-03
83.89445	25.83725	1.736e-03
83.86781	25.79465	1.753e-03
83.84084	25.74917	1.760e-03
83.80992	25.69956	1.775e-03
83.77949	25.64921	1.798e-03
83.75204	25.60520	1.808e-03
83.72296	25.55695	1.824e-03
83.69189	25.50665	1.839e-03
83.66080	25.45634	1.860e-03
83.63165	25.40809	1.879e-03
83.60191	25.35987	1.895e-03
83.57421	25.31444	1.914e-03
83.54304	25.26414	1.932e-03
83.51390	25.21662	1.949e-03
83.48196	25.16492	1.967e-03
83.45212	25.11671	1.970e-03
83.42441	25.07200	1.983e-03
83.39314	25.02171	2.012e-03
83.36325	24.97351	2.022e-03
83.33334	24.92531	2.034e-03
83.30120	24.87291	2.052e-03
83.27126	24.82472	2.070e-03
83.24129	24.77652	2.079e-03
83.20916	24.72483	2.093e-03
83.17850	24.67595	2.113e-03
83.14848	24.62777	2.126e-03
83.11986	24.58167	2.139e-03
83.08839	24.53139	2.169e-03
83.05824	24.48249	2.181e-03
83.02749	24.43362	2.200e-03
82.99456	24.38126	2.218e-03
82.96436	24.33236	2.232e-03
82.93421	24.28418	2.255e-03
82.89832	24.22693	2.274e-03
82.87246	24.18573	2.282e-03
82.84151	24.13615	2.286e-03
82.80914	24.08448	2.305e-03
82.77882	24.03559	2.331e-03
82.74566	23.98252	2.342e-03
82.71681	23.93644	2.364e-03
82.68152	23.88060	2.380e-03
82.64780	23.82321	2.395e-03
82.62223	23.78562	2.416e-03
82.58830	23.73187	2.433e-03
82.55727	23.68302	2.448e-03
82.52757	23.63553	2.474e-03
82.49509	23.58459	2.494e-03
82.46392	23.53502	2.507e-03
82.42989	23.48127	2.531e-03
82.40072	23.43375	2.539e-03
82.36740	23.38141	2.564e-03
82.33626	23.33256	2.578e-03
82.29929	23.27463	2.591e-03
82.27231	23.23133	2.616e-03
82.24027	23.18036	2.632e-03
82.20493	23.12161	2.648e-03
82.17554	23.07845	2.669e-03
82.14067	23.02402	2.687e-03
82.11143	22.97722	2.706e-03
82.07870	22.92628	2.720e-03
82.04023	22.86192	2.734e-03
82.01085	22.81948	2.760e-03
81.97867	22.76850	2.767e-03
81.94875	22.72174	2.797e-03
81.91501	22.66796	2.809e-03
81.87211	22.59732	2.832e-03
81.84840	22.56323	2.846e-03
81.81843	22.51647	2.863e-03
81.78105	22.45783	2.886e-03
81.75256	22.40880	2.910e-03
81.71719	22.35728	2.926e-03
81.68714	22.31051	2.947e-03
81.65403	22.25813	2.965e-03
81.62098	22.20647	2.984e-03
81.58706	22.15268	3.001e-03
81.55406	22.10173	3.013e-03
81.52164	22.05075	3.019e-03
81.48622	21.99488	3.053e-03
81.45317	21.94393	3.079e-03
81.42070	21.89294	3.093e-03
81.38531	21.83778	3.102e-03
81.35204	21.78539	3.124e-03
81.32174	21.73790	3.144e-03
81.28784	21.68554	3.168e-03
81.25375	21.63174	3.196e-03
81.22058	21.58078	3.206e-03
81.18432	21.52421	3.225e-03
81.15318	21.47531	3.251e-03
81.11842	21.42153	3.275e-03
81.08279	21.36563	3.301e-03
81.05177	21.31817	3.312e-03
81.01764	21.26508	3.335e-03
80.98205	21.20990	3.360e-03
80.94350	21.14545	3.375e-03
80.91518	21.10580	3.392e-03
80.88158	21.05267	3.399e-03
80.84747	21.00029	3.415e-03
80.80878	20.94020	3.438e-03
80.77600	20.88918	3.466e-03
80.74467	20.84026	3.480e-03
80.70757	20.78369	3.499e-03
80.67397	20.73126	3.516e-03
80.64061	20.67591	3.539e-03
80.60087	20.61804	3.556e-03
80.56653	20.56492	3.579e-03
80.53805	20.52017	3.591e-03
80.50144	20.46354	3.614e-03
80.46497	20.40327	3.645e-03
80.43335	20.35797	3.678e-03
80.39600	20.30066	3.686e-03
80.36383	20.25102	3.710e-03
80.32870	20.19720	3.727e-03
80.28747	20.12847	3.753e-03
80.25821	20.08810	3.765e-03
80.22354	20.03351	3.795e-03
80.18610	19.97618	3.807e-03
80.15296	19.92439	3.821e-03
80.11687	19.86842	3.847e-03
80.07928	19.81036	3.872e-03
80.04689	19.75997	3.884e-03
80.00988	19.70186	3.907e-03
79.97536	19.64431	3.915e-03
79.93745	19.58916	3.943e-03
79.90440	19.53879	3.955e-03
79.86880	19.48276	3.990e-03
79.83328	19.42744	4.004e-03
79.79337	19.36146	4.023e-03
79.76071	19.31470	4.056e-03
79.72585	19.26005	4.072e-03
79.68721	19.19981	4.109e-03
79.65318	19.14729	4.124e-03
79.61023	19.07710	4.153e-03
79.57741	19.02959	4.185e-03
79.54168	18.97351	4.199e-03
79.50829	18.92165	4.230e-03
79.47184	18.86488	4.235e-03
79.42188	18.78342	4.250e-03
79.39513	18.74572	4.261e-03
79.36169	18.69384	4.292e-03
79.31983	18.62864	4.304e-03
79.28732	18.57450	4.323e-03
79.25053	18.52063	4.339e-03
79.20784	18.45399	4.363e-03
79.17442	18.40281	4.390e-03
79.14003	18.34877	4.413e-03
79.10185	18.28912	4.431e-03
79.06525	18.23229	4.464e-03
79.02862	18.17545	4.502e-03
78.98821	18.11300	4.528e-03
78.95085	18.05546	4.550e-03
78.91480	17.99856	4.583e-03
78.87443	17.93681	4.605e-03
78.83994	17.88273	4.628e-03
78.80235	17.82371	4.649e-03
78.76414	17.76472	4.664e-03
78.71974	17.69589	4.678e-03
78.68150	17.63689	4.703e-03
78.64703	17.58349	4.730e-03
78.60947	17.52517	4.759e-03
78.57198	17.46756	4.774e-03
78.53191	17.40425	4.790e-03
78.49361	17.34522	4.821e-03
78.45829	17.29038	4.845e-03
78.41917	17.22991	4.866e-03
78.37923	17.16802	4.894e-03
78.33848	17.10472	4.914e-03
78.30250	17.04989	4.934e-03
78.26163	16.98583	4.964e-03
78.22253	16.92606	5.001e-03
78.18182	16.86343	5.039e-03
78.14623	16.80708	5.062e-03
78.10699	16.74655	5.090e-03
78.06714	16.68605	5.113e-03
78.02715	16.61968	5.138e-03
77.98100	16.55369	5.164e-03
77.94163	16.49239	5.176e-03
77.90553	16.43747	5.183e-03
77.86844	16.37968	5.219e-03
77.82691	16.31629	5.258e-03
77.78457	16.25147	5.292e-03
77.74825	16.19507	5.306e-03
77.70508	16.12881	5.332e-03
77.66670	16.07104	5.344e-03
77.61577	15.99277	5.377e-03
77.58554	15.94549	5.405e-03
77.54473	15.88344	5.418e-03
77.50150	15.81712	5.443e-03
77.46297	15.75858	5.487e-03
77.41830	15.69087	5.541e-03
77.38108	15.63295	5.547e-03
77.33648	15.56594	5.571e-03
77.29853	15.50732	5.593e-03
77.25620	15.43866	5.628e-03
77.21201	15.37526	5.659e-03
77.16566	15.30462	5.672e-03
77.13178	15.25379	5.686e-03
77.08772	15.18666	5.709e-03
77.04382	15.11583	5.743e-03
77.00573	15.06154	5.784e-03
76.96084	14.99296	5.790e-03
76.92218	14.93427	5.820e-03
76.87968	14.86992	5.861e-03
76.83253	14.79848	5.885e-03
76.79143	14.73549	5.908e-03
76.75212	14.67679	5.928e-03
76.70716	14.60811	5.951e-03
76.66470	14.54443	5.993e-03
76.62286	14.48068	6.033e-03
76.58100	14.41693	6.050e-03
76.53780	14.35251	6.090e-03
76.49217	14.28380	6.122e-03
76.45036	14.21557	6.149e-03
76.40697	14.15480	6.183e-03
76.36445	14.09102	6.199e-03
76.31788	14.02008	6.232e-03
76.27695	13.95911	6.248e-03
76.23199	13.89100	6.281e-03
76.18548	13.82075	6.304e-03
76.14597	13.76113	6.337e-03
76.10168	13.69366	6.373e-03
76.05758	13.62764	6.406e-03
76.01195	13.55948	6.432e-03
75.96540	13.48914	6.466e-03
75.92432	13.42732	6.499e-03
75.88010	13.36051	6.528e-03
75.83514	13.29297	6.558e-03
75.78319	13.21475	6.584e-03
75.73822	13.14717	6.615e-03
75.70097	13.09096	6.650e-03
75.65608	13.02409	6.686e-03
75.61037	12.95059	6.717e-03
75.56152	12.88244	6.735e-03
75.52039	12.82047	6.780e-03
75.47224	12.74780	6.809e-03
75.42722	12.68009	6.834e-03
75.38293	12.61308	6.851e-03
75.33494	12.54180	6.874e-03
75.28901	12.47188	6.925e-03
75.24416	12.40557	6.961e-03
75.20135	12.34060	7.001e-03
75.15163	12.26565	7.022e-03
75.10587	12.19711	7.055e-03
75.06324	12.13356	7.088e-03
75.01431	12.05997	7.127e-03
74.96925	11.99207	7.165e-03
74.92418	11.92416	7.193e-03
74.87056	11.84334	7.205e-03
74.83178	11.78541	7.274e-03
74.78292	11.71244	7.311e-03
74.73396	11.63351	7.343e-03
74.68806	11.56924	7.369e-03
74.64135	11.49831	7.402e-03
74.59797	11.43386	7.443e-03
74.54900	11.36003	7.472e-03
74.50318	11.29121	7.489e-03
74.45339	11.21589	7.517e-03
74.40603	11.14488	7.545e-03
74.36254	11.07957	7.598e-03
74.31518	11.00851	7.622e-03
74.25531	10.91280	7.646e-03
74.22028	10.86483	7.688e-03
74.17290	10.79370	7.722e-03
74.12247	10.71823	7.748e-03
74.07583	10.64775	7.792e-03
74.02539	10.57223	7.837e-03
73.97793	10.50025	7.879e-03
73.93055	10.42898	7.927e-03
73.88615	10.36126	7.979e-03
73.83643	10.28633	8.022e-03
73.78582	10.20919	8.073e-03
73.74160	10.14287	8.108e-03
73.69026	10.06496	8.126e-03
73.64280	9.99279	8.137e-03
73.58373	9.89805	8.170e-03
73.54733	9.84914	8.197e-03
73.49979	9.77615	8.218e-03
73.45088	9.70244	8.248e-03
73.40262	9.62868	8.284e-03
73.30473	9.48039	8.341e-03
73.25259	9.40074	8.378e-03
73.20434	9.32686	8.414e-03
73.10477	9.17466	8.509e-03
73.05976	9.10651	8.546e-03
73.01070	9.03105	8.574e-03
72.95940	8.95266	8.612e-03
72.90337	8.86100	8.661e-03
72.85825	8.79723	8.735e-03
72.81326	8.72893	8.774e-03
72.76422	8.65330	8.807e-03
72.71447	8.57693	8.849e-03
72.65154	8.47489	8.881e-03
72.61031	8.41679	8.935e-03
72.56589	8.34757	8.958e-03
72.51310	8.26670	8.958e-03
72.46410	8.19087	8.982e-03
72.40746	8.10409	9.046e-03
72.35775	8.02746	9.060e-03
72.31586	7.96323	9.097e-03
72.26303	7.88142	9.119e-03
72.21024	7.79430	9.154e-03
72.16116	7.72278	9.193e-03
72.11535	7.65183	9.216e-03
72.06110	7.56842	9.244e-03
72.01208	7.49152	9.271e-03
71.95404	7.39690	9.354e-03
71.90886	7.33106	9.429e-03
71.85851	7.25334	9.489e-03
71.81194	7.18072	9.539e-03
71.75911	7.09776	9.587e-03
