#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-03-21 12:27:15"
#data_read_from_db	"2018-03-21 13:08:09"
#database_id	1805
#datapoints_in_db	127652
#database_reference_id	0
#integrated_value	0.22	6.3
#sample_label	"layer_020_030"
#sample_name	"Layered:_#20_on_top_of_#30"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-tizian|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=18 poweron=8435 [h] last_change=131 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	31.3158	0
#intheta	31.3158
#inphi	0
#front_integral	0.221
#incident_and_front_integral	31.3158	0	0.221
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	126567
#format: theta	phi	[uA]
70.36261	-83.21247	1.382e-02
70.13343	-83.29140	1.394e-02
69.96773	-83.34916	1.411e-02
69.76903	-83.41929	1.434e-02
69.56299	-83.49292	1.452e-02
69.36769	-83.56347	1.474e-02
69.17337	-83.63444	1.489e-02
68.94467	-83.71935	1.506e-02
68.77545	-83.78269	1.523e-02
68.52798	-83.87364	1.543e-02
68.36188	-83.94057	1.556e-02
68.16625	-84.01657	1.572e-02
67.98426	-84.08806	1.593e-02
67.78677	-84.16660	1.614e-02
67.57237	-84.25296	1.635e-02
67.37538	-84.33301	1.659e-02
67.19490	-84.40723	1.677e-02
66.99826	-84.48918	1.695e-02
66.78925	-84.57729	1.712e-02
66.58124	-84.66595	1.731e-02
66.40897	-84.74016	1.745e-02
66.17928	-84.84032	1.762e-02
66.00735	-84.91641	1.782e-02
65.81427	-85.00262	1.802e-02
65.62369	-85.08836	1.815e-02
65.41490	-85.18366	1.835e-02
65.22258	-85.27226	1.855e-02
65.04067	-85.35736	1.877e-02
64.84147	-85.45116	1.897e-02
64.64979	-85.54270	1.911e-02
64.45695	-85.63548	1.929e-02
64.23809	-85.74216	1.949e-02
64.06977	-85.82524	1.972e-02
63.87187	-85.92375	1.997e-02
63.66552	-86.02760	2.015e-02
63.47536	-86.12472	2.038e-02
63.29638	-86.21683	2.054e-02
63.08073	-86.32917	2.072e-02
62.89573	-86.42673	2.098e-02
62.72107	-86.51992	2.112e-02
62.49984	-86.63922	2.125e-02
62.33726	-86.72748	2.144e-02
62.09850	-86.85474	2.162e-02
61.95456	-86.93931	2.179e-02
61.76470	-87.04623	2.195e-02
61.56445	-87.15993	2.213e-02
61.37877	-87.26685	2.229e-02
61.19267	-87.37495	2.250e-02
60.99193	-87.49296	2.266e-02
60.80432	-87.60442	2.288e-02
60.62125	-87.71455	2.307e-02
60.42748	-87.82758	2.328e-02
60.25248	-87.93954	2.353e-02
60.06960	-88.05320	2.366e-02
59.88212	-88.17051	2.390e-02
59.67104	-88.30466	2.407e-02
59.47888	-88.42298	2.427e-02
59.30832	-88.53840	2.447e-02
59.12497	-88.65875	2.468e-02
58.94267	-88.77952	2.488e-02
58.77045	-88.89458	2.500e-02
58.57697	-89.02570	2.510e-02
58.38458	-89.15740	2.526e-02
58.21752	-89.27248	2.544e-02
58.00927	-89.41827	2.564e-02
57.84632	-89.53338	2.578e-02
57.66782	-89.66077	2.600e-02
57.47389	-89.80068	2.612e-02
57.29545	-89.93097	2.630e-02
57.12765	-90.05437	2.648e-02
56.93146	-90.19456	2.661e-02
56.76373	-90.32662	2.689e-02
56.55687	-90.48432	2.711e-02
56.39597	-90.60822	2.734e-02
56.22928	-90.73763	2.752e-02
56.02028	-90.89588	2.768e-02
55.85589	-91.03266	2.794e-02
55.68027	-91.17387	2.807e-02
55.51849	-91.30540	2.828e-02
55.31891	-91.46906	2.844e-02
55.10560	-91.63976	2.856e-02
54.97397	-91.75704	2.870e-02
54.81504	-91.89146	2.889e-02
54.64059	-92.04075	2.904e-02
54.45864	-92.19800	2.917e-02
54.26205	-92.37038	2.936e-02
54.11791	-92.49772	2.949e-02
53.93344	-92.66252	2.966e-02
53.77369	-92.80704	2.980e-02
53.59542	-92.96967	2.997e-02
53.41502	-93.13585	3.021e-02
53.25917	-93.28116	3.033e-02
53.08819	-93.44244	3.054e-02
52.91764	-93.60452	3.077e-02
52.70395	-93.80291	3.102e-02
52.57618	-93.93499	3.119e-02
52.39495	-94.11274	3.138e-02
52.24047	-94.26627	3.155e-02
52.06544	-94.44209	3.173e-02
51.89096	-94.61933	3.193e-02
51.73723	-94.77686	3.206e-02
51.57199	-94.94826	3.218e-02
51.39598	-95.13291	3.238e-02
51.22050	-95.31858	3.258e-02
51.07191	-95.47828	3.279e-02
50.91058	-95.65241	3.292e-02
50.72137	-95.85986	3.307e-02
50.58288	-96.01342	3.319e-02
50.40505	-96.20413	3.335e-02
50.25486	-96.38202	3.358e-02
50.09569	-96.56387	3.372e-02
49.93278	-96.75188	3.388e-02
49.76505	-96.94805	3.409e-02
49.60759	-97.13410	3.431e-02
49.43998	-97.33517	3.448e-02
49.27885	-97.52947	3.463e-02
49.12439	-97.71846	3.483e-02
48.97584	-97.90186	3.502e-02
48.80472	-98.11587	3.522e-02
48.64856	-98.31384	3.539e-02
48.49349	-98.51176	3.542e-02
48.34033	-98.71026	3.549e-02
48.18877	-98.90766	3.569e-02
48.01360	-99.13993	3.597e-02
47.86005	-99.34586	3.606e-02
47.73236	-99.51796	3.623e-02
47.58002	-99.72665	3.642e-02
47.39993	-99.96598	3.662e-02
47.26188	-100.16956	3.681e-02
47.12620	-100.36121	3.697e-02
46.96595	-100.59183	3.706e-02
46.82589	-100.79437	3.723e-02
46.67311	-101.01842	3.756e-02
46.51679	-101.25144	3.772e-02
46.37045	-101.47093	3.789e-02
46.23544	-101.67686	3.807e-02
46.08950	-101.90154	3.824e-02
45.94092	-102.13253	3.844e-02
45.78786	-102.37439	3.857e-02
45.64532	-102.60237	3.871e-02
45.50131	-102.83514	3.883e-02
45.36609	-103.05639	3.898e-02
45.22734	-103.28628	3.921e-02
45.08982	-103.51658	3.935e-02
44.94009	-103.77145	3.947e-02
44.80384	-104.00678	3.962e-02
44.66868	-104.24189	3.978e-02
44.52353	-104.49799	4.000e-02
44.38863	-104.73987	4.016e-02
44.25483	-104.98157	4.038e-02
44.12914	-105.21265	4.059e-02
43.94814	-105.53716	4.076e-02
43.84999	-105.73582	4.100e-02
43.73046	-105.96324	4.118e-02
43.59208	-106.23088	4.138e-02
43.46446	-106.48109	4.160e-02
43.31780	-106.77292	4.178e-02
43.18957	-107.03145	4.199e-02
43.07524	-107.26527	4.216e-02
42.95110	-107.52200	4.236e-02
42.82684	-107.78218	4.244e-02
42.70542	-108.04026	4.255e-02
42.58449	-108.30117	4.277e-02
42.45288	-108.58904	4.301e-02
42.33382	-108.85329	4.322e-02
42.21508	-109.11975	4.339e-02
42.09687	-109.38912	4.356e-02
41.97867	-109.66207	4.375e-02
41.85438	-109.95362	4.396e-02
41.73964	-110.22729	4.423e-02
41.61928	-110.51845	4.441e-02
41.51426	-110.77618	4.460e-02
41.39999	-111.05931	4.497e-02
41.28841	-111.34209	4.530e-02
41.17249	-111.63869	4.551e-02
41.06360	-111.92206	4.572e-02
40.93881	-112.25218	4.587e-02
40.84060	-112.51563	4.607e-02
40.74060	-112.78869	4.622e-02
40.63086	-113.09164	4.631e-02
40.51994	-113.40334	4.634e-02
40.42492	-113.67326	4.645e-02
40.31479	-113.99323	4.673e-02
40.21918	-114.27454	4.699e-02
40.11521	-114.58437	4.725e-02
40.01781	-114.88226	4.744e-02
39.91208	-115.20837	4.766e-02
39.81607	-115.51159	4.783e-02
39.72560	-115.80034	4.805e-02
39.62214	-116.13660	4.830e-02
39.53611	-116.42167	4.848e-02
39.44317	-116.73391	4.878e-02
39.34614	-117.06554	4.923e-02
39.24819	-117.38167	4.950e-02
39.16901	-117.68665	4.981e-02
39.06673	-118.05413	5.008e-02
38.98824	-118.34238	5.032e-02
38.90794	-118.64325	5.059e-02
38.80861	-119.02117	5.075e-02
38.73809	-119.29498	5.101e-02
38.64906	-119.64475	5.112e-02
38.57461	-119.94642	5.132e-02
38.49375	-120.27515	5.160e-02
38.38355	-120.71039	5.189e-02
38.32880	-120.97128	5.211e-02
38.25285	-121.30116	5.246e-02
38.18370	-121.60860	5.274e-02
38.10931	-121.94502	5.303e-02
38.02728	-122.32359	5.340e-02
37.96384	-122.62281	5.373e-02
37.88850	-122.98658	5.405e-02
37.82008	-123.32285	5.440e-02
37.73962	-123.69752	5.481e-02
37.68743	-123.99823	5.528e-02
37.61746	-124.36909	5.552e-02
37.55842	-124.68662	5.579e-02
37.49195	-125.05442	5.609e-02
37.41249	-125.46523	5.644e-02
37.37202	-125.74186	5.679e-02
37.31335	-126.08707	5.721e-02
37.25184	-126.46395	5.743e-02
37.19841	-126.79713	5.763e-02
37.14106	-127.16166	5.802e-02
37.08390	-127.54050	5.829e-02
37.03529	-127.86839	5.857e-02
36.98433	-128.22658	5.889e-02
36.92441	-128.60873	5.922e-02
36.88423	-128.95563	5.957e-02
36.83739	-129.31189	5.987e-02
36.78799	-129.69910	6.026e-02
36.74642	-130.03835	6.050e-02
36.70157	-130.41539	6.087e-02
36.65741	-130.80029	6.141e-02
36.61703	-131.16537	6.198e-02
36.57798	-131.52800	6.247e-02
36.54247	-131.87387	6.287e-02
36.50474	-132.25362	6.336e-02
36.46714	-132.64642	6.383e-02
36.43653	-132.98480	6.435e-02
36.40184	-133.37915	6.473e-02
36.37250	-133.72951	6.502e-02
36.34076	-134.13458	6.541e-02
36.31225	-134.50996	6.596e-02
36.28769	-134.85236	6.643e-02
36.26120	-135.24797	6.677e-02
36.23732	-135.61800	6.721e-02
36.21414	-136.01205	6.788e-02
36.19466	-136.35477	6.824e-02
36.17534	-136.73285	6.868e-02
36.15652	-137.11021	6.919e-02
36.12935	-137.57768	6.967e-02
36.12280	-137.90454	7.045e-02
36.11016	-138.24364	7.093e-02
36.09708	-138.64772	7.153e-02
36.08670	-139.00331	7.206e-02
36.06776	-139.50327	7.276e-02
36.06942	-139.76459	7.336e-02
36.06210	-140.17081	7.398e-02
74.85057	136.11560	1.933e-02
74.97827	135.94675	1.914e-02
75.10278	135.78096	1.894e-02
75.22180	135.62294	1.874e-02
75.35126	135.44933	1.849e-02
75.48488	135.26997	1.823e-02
75.61018	135.10150	1.809e-02
75.73235	134.93764	1.793e-02
75.85011	134.77795	1.775e-02
76.02122	134.53601	1.754e-02
76.09972	134.43872	1.739e-02
76.22239	134.27130	1.720e-02
76.35249	134.09285	1.702e-02
76.47344	133.91666	1.684e-02
76.59366	133.76083	1.662e-02
76.71421	133.59373	1.643e-02
76.84399	133.41380	1.627e-02
76.95755	133.25562	1.612e-02
77.08298	133.07994	1.596e-02
77.20943	132.90230	1.576e-02
77.33076	132.73167	1.562e-02
77.44711	132.56595	1.547e-02
77.55947	132.40680	1.529e-02
77.71305	132.17766	1.513e-02
77.81109	132.04677	1.489e-02
77.91822	131.89241	1.474e-02
78.04275	131.71213	1.463e-02
78.15781	131.54538	1.448e-02
78.29086	131.35132	1.430e-02
78.40507	131.18437	1.415e-02
78.50971	131.03023	1.397e-02
78.61758	130.87082	1.382e-02
78.73714	130.69388	1.367e-02
78.85799	130.51347	1.347e-02
78.96233	130.35776	1.335e-02
79.08444	130.17390	1.321e-02
79.19656	130.00497	1.307e-02
79.33319	129.79750	1.292e-02
79.42065	129.66406	1.277e-02
79.54129	129.47984	1.262e-02
79.65125	129.31039	1.244e-02
79.76138	129.14021	1.225e-02
79.87048	128.97057	1.212e-02
79.98746	128.78772	1.199e-02
80.11809	128.56244	1.181e-02
80.21621	128.40744	1.163e-02
80.31188	128.27646	1.152e-02
80.41932	128.10562	1.137e-02
80.54350	127.90636	1.123e-02
80.64073	127.74965	1.109e-02
80.74678	127.57842	1.096e-02
80.86659	127.38338	1.082e-02
80.96495	127.22310	1.071e-02
81.06992	127.05010	1.059e-02
81.16688	126.89023	1.044e-02
81.27669	126.70782	1.030e-02
81.38010	126.53514	1.018e-02
81.49068	126.34988	1.002e-02
81.58531	126.19014	9.880e-03
81.69238	125.99818	9.785e-03
81.79579	125.83205	9.626e-03
81.93768	125.58788	9.513e-03
81.99689	125.48521	9.352e-03
82.09758	125.31032	9.249e-03
82.21256	125.11015	9.087e-03
82.30775	124.94292	8.968e-03
82.40025	124.77885	8.835e-03
82.51498	124.57481	8.711e-03
82.60381	124.41582	8.601e-03
82.70061	124.24213	8.459e-03
82.81800	124.02888	8.350e-03
82.89732	123.88492	8.227e-03
82.98548	123.72348	8.118e-03
83.08813	123.53454	8.004e-03
83.18202	123.36009	7.883e-03
83.28123	123.17484	7.758e-03
83.37860	122.99213	7.669e-03
83.47124	122.81732	7.565e-03
83.55552	122.65639	7.453e-03
83.64890	122.47795	7.347e-03
83.75696	122.26910	7.206e-03
83.84806	122.09236	7.124e-03
83.93862	121.91547	7.005e-03
84.02014	121.75529	6.883e-03
84.11665	121.55447	6.756e-03
84.20524	121.38807	6.649e-03
84.28636	121.22549	6.557e-03
84.38136	121.03374	6.463e-03
84.46806	120.85737	6.360e-03
84.57339	120.64088	6.246e-03
84.64297	120.49812	6.160e-03
84.72284	120.33143	6.058e-03
84.80840	120.15245	5.947e-03
84.89703	119.96590	5.817e-03
84.98040	119.78868	5.752e-03
85.06939	119.59842	5.662e-03
85.14549	119.43378	5.587e-03
85.24467	119.21799	5.508e-03
85.31381	119.06678	5.411e-03
85.39948	118.87721	5.316e-03
85.47353	118.71350	5.230e-03
85.55401	118.53252	5.136e-03
85.63378	118.35211	5.045e-03
85.71583	118.16541	4.968e-03
85.79293	117.98811	4.862e-03
85.87624	117.79492	4.773e-03
85.95216	117.61732	4.687e-03
86.02420	117.44714	4.585e-03
86.10265	117.26110	4.514e-03
86.17722	117.08244	4.405e-03
86.25131	116.90292	4.330e-03
86.32990	116.71085	4.263e-03
86.40245	116.53319	4.192e-03
86.49968	116.28107	4.092e-03
86.54533	116.17667	4.036e-03
86.62231	115.98125	3.951e-03
86.68864	115.81198	3.885e-03
86.76646	115.61073	3.817e-03
86.83500	115.43292	3.711e-03
86.89839	115.26601	3.663e-03
86.97186	115.07127	3.587e-03
87.03870	114.89234	3.514e-03
87.11662	114.67124	3.452e-03
87.17109	114.53201	3.367e-03
87.23575	114.35336	3.288e-03
87.30597	114.15720	3.209e-03
87.36980	113.97690	3.150e-03
87.43295	113.79719	3.086e-03
87.50041	113.60197	3.014e-03
87.56278	113.41991	2.947e-03
87.62068	113.24885	2.879e-03
87.68481	113.05815	2.829e-03
87.74490	112.87712	2.741e-03
87.81431	112.66443	2.690e-03
87.86823	112.49780	2.628e-03
87.92639	112.31638	2.570e-03
87.98859	112.10858	2.528e-03
88.04089	111.95246	2.449e-03
88.10114	111.75733	2.396e-03
88.15398	111.58386	2.335e-03
88.20979	111.39831	2.282e-03
88.26656	111.20776	2.225e-03
88.32468	111.01003	2.172e-03
88.37809	110.82555	2.123e-03
88.43026	110.64232	2.048e-03
88.47998	110.46681	1.995e-03
88.53306	110.27637	1.938e-03
88.58769	110.07730	1.864e-03
88.63400	109.90641	1.697e-03
88.68382	109.71985	1.487e-03
88.73507	109.52542	1.313e-03
88.78618	109.32878	1.049e-03
88.83807	109.12560	9.193e-04
88.88039	108.95705	7.664e-04
88.92386	108.78204	6.101e-04
88.97475	108.56137	4.508e-04
89.01562	108.40265	2.702e-04
89.06352	108.20109	1.988e-04
89.10663	108.01575	1.761e-04
89.14879	107.83177	1.730e-04
89.20100	107.58714	1.718e-04
89.23479	107.44643	1.665e-04
89.27238	107.27355	1.712e-04
89.31285	107.08495	1.712e-04
89.35418	106.88771	1.691e-04
89.39251	106.70250	1.653e-04
89.43330	106.50079	1.614e-04
89.47045	106.31400	1.651e-04
89.50487	106.13779	1.615e-04
89.54251	105.94083	1.574e-04
89.61127	105.56886	1.642e-04
89.64566	105.37740	1.621e-04
89.68077	105.17798	1.642e-04
89.74727	104.78684	1.639e-04
89.77544	104.61514	1.633e-04
89.80999	104.40044	1.629e-04
89.83588	104.23649	1.564e-04
89.86561	104.04171	1.593e-04
89.89581	103.83898	1.602e-04
89.92330	103.65052	1.619e-04
89.94827	103.47420	1.585e-04
89.97456	103.28421	1.555e-04
89.97439	89.81246	9.946e-05
89.94981	89.63773	1.001e-04
89.92297	89.45174	9.630e-05
89.89521	89.26443	1.112e-04
89.86662	89.07651	1.142e-04
89.83242	88.85679	1.055e-04
89.80358	88.67834	1.219e-04
89.77364	88.49643	1.155e-04
89.74294	88.31391	1.080e-04
89.71263	88.13787	1.119e-04
89.67604	87.93015	1.190e-04
89.64307	87.74728	1.147e-04
89.61151	87.57581	1.235e-04
89.57036	87.35722	1.286e-04
89.53484	87.17260	1.232e-04
89.50282	87.00923	1.243e-04
89.45982	86.79461	1.226e-04
89.42548	86.62655	1.346e-04
89.38645	86.43893	1.348e-04
89.34504	86.24372	1.323e-04
89.30891	86.07673	1.370e-04
89.26496	85.87690	1.455e-04
89.22678	85.70666	1.452e-04
89.18434	85.52042	1.541e-04
89.13078	85.28666	1.457e-04
89.09284	85.12954	1.555e-04
89.04903	84.94725	1.584e-04
89.00745	84.77698	1.613e-04
88.96145	84.59149	1.560e-04
88.89954	84.34334	1.539e-04
88.86291	84.20430	1.619e-04
88.81541	84.02208	1.596e-04
88.77022	83.85112	1.648e-04
88.71895	83.66019	1.631e-04
88.66978	83.47982	1.596e-04
88.61978	83.29891	1.617e-04
88.56821	83.11542	1.687e-04
88.51601	82.93208	1.682e-04
88.45035	82.70100	1.662e-04
88.40421	82.54795	1.684e-04
88.35382	82.37823	1.703e-04
88.29169	82.17216	1.724e-04
88.24160	82.00828	1.759e-04
88.16432	81.75490	1.744e-04
88.12546	81.63562	1.695e-04
88.06386	81.44202	1.696e-04
88.00660	81.26440	1.800e-04
87.95274	81.09927	1.720e-04
87.87127	80.84846	1.860e-04
87.77362	80.56316	1.798e-04
87.71223	80.38366	1.909e-04
87.54983	79.91467	2.632e-04
87.51750	79.82868	4.680e-04
87.40000	79.49819	6.079e-04
87.31698	79.27685	7.607e-04
87.17926	78.90863	1.035e-03
87.12589	78.76806	1.191e-03
87.05772	78.59051	1.345e-03
86.98677	78.40778	1.486e-03
86.91280	78.21917	1.562e-03
86.84274	78.04220	1.605e-03
86.77357	77.86948	1.630e-03
86.70618	77.70301	1.669e-03
86.60484	77.45045	1.717e-03
86.54751	77.31704	1.756e-03
86.48220	77.16051	1.792e-03
86.41322	76.99681	1.821e-03
86.33405	76.80538	1.871e-03
86.25662	76.63064	1.916e-03
86.18710	76.47015	1.955e-03
86.11031	76.29456	1.993e-03
86.02888	76.11060	2.044e-03
85.93710	75.89970	2.096e-03
85.86872	75.75320	2.112e-03
85.79068	75.58183	2.165e-03
85.71710	75.42117	2.208e-03
85.62661	75.22575	2.247e-03
85.55399	75.07012	2.287e-03
85.46711	74.88570	2.334e-03
85.38481	74.71273	2.384e-03
85.30424	74.54452	2.427e-03
85.22210	74.37456	2.466e-03
85.12640	74.17865	2.514e-03
85.05564	74.03463	2.546e-03
84.96445	73.85096	2.602e-03
84.87905	73.67985	2.645e-03
84.79452	73.51227	2.691e-03
84.70256	73.33119	2.732e-03
84.61517	73.16079	2.779e-03
84.52023	72.97694	2.835e-03
84.44023	72.82314	2.891e-03
84.35148	72.65401	2.930e-03
84.26321	72.48703	3.000e-03
84.16576	72.30410	3.032e-03
84.07521	72.13564	3.089e-03
83.98518	71.96930	3.150e-03
83.85917	71.73283	3.179e-03
83.79391	71.61990	3.240e-03
83.70859	71.46577	3.299e-03
83.60846	71.28616	3.348e-03
83.51512	71.12030	3.402e-03
83.42120	70.95390	3.470e-03
83.32629	70.78785	3.507e-03
83.22897	70.61807	3.564e-03
83.13130	70.44920	3.611e-03
83.03005	70.27547	3.648e-03
82.93285	70.10955	3.710e-03
82.83557	69.94520	3.749e-03
82.72854	69.76514	3.823e-03
82.62988	69.60056	3.862e-03
82.50137	69.38136	3.922e-03
82.42134	69.25625	3.985e-03
82.32076	69.09164	4.042e-03
82.22570	68.93738	4.110e-03
82.11823	68.76376	4.171e-03
82.00010	68.57477	4.235e-03
81.89556	68.40859	4.276e-03
81.79270	68.24568	4.354e-03
81.69679	68.09490	4.418e-03
81.58105	67.90820	4.486e-03
81.48025	67.75848	4.568e-03
81.38213	67.60701	4.624e-03
81.25738	67.41596	4.679e-03
81.16513	67.27550	4.746e-03
81.03134	67.06697	4.806e-03
80.94495	66.94369	4.879e-03
80.83689	66.78208	4.930e-03
80.71817	66.60590	4.984e-03
80.61401	66.45216	5.052e-03
80.46753	66.23145	5.125e-03
80.37950	66.10964	5.193e-03
80.26776	65.94795	5.252e-03
80.15736	65.78887	5.315e-03
80.04350	65.61946	5.380e-03
79.91574	65.44453	5.452e-03
79.80190	65.28371	5.511e-03
79.69706	65.13654	5.584e-03
79.58280	64.97668	5.650e-03
79.46943	64.81882	5.725e-03
79.34621	64.64921	5.795e-03
79.22963	64.48872	5.867e-03
79.11366	64.33035	5.930e-03
79.00277	64.18015	6.002e-03
78.88110	64.01543	6.076e-03
78.76398	63.85832	6.148e-03
78.63565	63.68687	6.209e-03
78.51725	63.52949	6.264e-03
78.39951	63.37342	6.340e-03
78.27303	63.20753	6.412e-03
78.16093	63.06098	6.490e-03
78.03922	62.90260	6.567e-03
77.91010	62.73541	6.644e-03
77.78914	62.57987	6.712e-03
77.66860	62.42574	6.806e-03
77.52541	62.24302	6.867e-03
77.41386	62.10176	6.930e-03
77.29753	61.95537	7.008e-03
77.15521	61.76986	7.093e-03
77.03430	61.62619	7.215e-03
76.91132	61.47305	7.272e-03
76.79414	61.32856	7.350e-03
76.66102	61.16458	7.431e-03
76.50076	60.96112	7.518e-03
76.40052	60.84607	7.616e-03
76.27290	60.69086	7.657e-03
76.14726	60.53957	7.743e-03
76.02578	60.39367	7.806e-03
75.84501	60.17014	7.882e-03
75.76324	60.07989	7.974e-03
75.62359	59.91459	8.038e-03
75.49458	59.76228	8.114e-03
75.35955	59.60374	8.192e-03
75.24026	59.46399	8.275e-03
75.11095	59.31336	8.360e-03
74.97778	59.15876	8.452e-03
74.83886	58.99781	8.546e-03
74.70765	58.84713	8.631e-03
74.56686	58.68615	8.750e-03
74.44341	58.54488	8.826e-03
74.31003	58.39346	8.919e-03
74.17500	58.24032	9.019e-03
73.99820	58.03377	9.095e-03
73.89082	57.92084	9.203e-03
73.76740	57.78263	9.300e-03
73.62299	57.62141	9.414e-03
73.48784	57.47139	9.482e-03
73.35392	57.32321	9.564e-03
73.19521	57.14801	9.646e-03
73.05885	56.99841	9.758e-03
72.94176	56.87012	9.857e-03
72.79845	56.71383	9.932e-03
72.65143	56.55429	1.000e-02
72.52448	56.41653	1.009e-02
72.37401	56.25438	1.018e-02
72.23539	56.10554	1.029e-02
72.09645	55.95596	1.038e-02
71.94810	55.79758	1.044e-02
71.80568	55.64623	1.055e-02
71.66762	55.49936	1.068e-02
71.53322	55.35731	1.079e-02
71.38670	55.20276	1.089e-02
71.23439	55.04261	1.098e-02
71.10303	54.90472	1.109e-02
70.95913	54.75452	1.121e-02
70.80941	54.59872	1.130e-02
70.65695	54.43999	1.136e-02
70.49928	54.27705	1.145e-02
70.36863	54.14264	1.159e-02
70.23225	54.00175	1.171e-02
70.08141	53.84692	1.182e-02
69.92743	53.68935	1.190e-02
69.78036	53.53921	1.200e-02
69.63501	53.39149	1.211e-02
69.49632	53.25050	1.221e-02
69.34403	53.09677	1.231e-02
69.18794	52.93892	1.241e-02
69.04935	52.79929	1.252e-02
68.89146	52.64129	1.267e-02
68.74557	52.49496	1.281e-02
68.57536	52.32512	1.295e-02
68.43761	52.18806	1.305e-02
68.29960	52.05106	1.317e-02
68.14072	51.89385	1.327e-02
67.97639	51.72304	1.336e-02
67.83230	51.58883	1.350e-02
67.69345	51.45268	1.359e-02
67.54043	51.30226	1.368e-02
67.38029	51.14508	1.382e-02
67.20068	50.96079	1.395e-02
67.07809	50.84936	1.409e-02
66.91476	50.69083	1.418e-02
66.76308	50.54338	1.430e-02
66.61829	50.40344	1.442e-02
66.41730	50.20089	1.454e-02
66.29090	50.08749	1.468e-02
66.14894	49.95089	1.482e-02
65.98589	49.79480	1.495e-02
65.83247	49.64742	1.507e-02
65.68018	49.50191	1.521e-02
65.50013	49.32988	1.532e-02
65.35902	49.19562	1.546e-02
65.19304	49.03765	1.556e-02
65.05069	48.90290	1.569e-02
64.88412	48.74490	1.581e-02
64.74162	48.61082	1.595e-02
64.57153	48.44995	1.605e-02
64.41787	48.30479	1.615e-02
64.26241	48.15866	1.627e-02
64.09401	48.00074	1.646e-02
63.94775	47.86346	1.656e-02
63.78035	47.70640	1.666e-02
63.61633	47.55352	1.680e-02
63.46714	47.41376	1.695e-02
63.31018	47.26736	1.706e-02
63.15409	47.12209	1.721e-02
62.98494	46.96498	1.733e-02
62.82546	46.80773	1.747e-02
62.66628	46.66893	1.764e-02
62.50812	46.52221	1.783e-02
62.32244	46.34991	1.792e-02
62.17785	46.21600	1.803e-02
61.98205	46.03524	1.815e-02
61.86362	45.92625	1.830e-02
61.70511	45.77957	1.841e-02
61.54141	45.62829	1.853e-02
61.35790	45.45963	1.861e-02
61.21243	45.32592	1.874e-02
61.03954	45.16721	1.891e-02
60.87722	45.01785	1.907e-02
60.72776	44.88026	1.917e-02
60.56423	44.73020	1.928e-02
60.37265	44.55526	1.942e-02
60.20912	44.40465	1.956e-02
60.06153	44.26967	1.970e-02
59.90071	44.12166	1.984e-02
59.73925	43.97375	1.996e-02
59.57679	43.82523	2.015e-02
59.41656	43.67796	2.030e-02
59.24015	43.51640	2.045e-02
59.07827	43.36858	2.058e-02
58.88506	43.18151	2.073e-02
58.74047	43.05868	2.087e-02
58.57689	42.90912	2.101e-02
58.42494	42.76948	2.114e-02
58.25905	42.61787	2.128e-02
58.08918	42.46167	2.140e-02
57.92144	42.30768	2.154e-02
57.76062	42.15977	2.170e-02
57.59371	42.00658	2.186e-02
57.42083	41.84704	2.200e-02
57.23191	41.67364	2.221e-02
57.09248	41.54533	2.228e-02
56.92575	41.39167	2.240e-02
56.75853	41.23701	2.252e-02
56.56905	41.05196	2.270e-02
56.40852	40.91367	2.291e-02
56.25631	40.77222	2.302e-02
56.08719	40.61629	2.317e-02
55.91174	40.45311	2.338e-02
55.69964	40.24632	2.354e-02
55.56625	40.13203	2.375e-02
55.41293	39.98955	2.384e-02
55.23492	39.82338	2.401e-02
55.06899	39.66913	2.420e-02
54.84156	39.44547	2.433e-02
54.71632	39.33856	2.442e-02
54.56411	39.19558	2.449e-02
54.38496	39.02796	2.466e-02
54.22298	38.87529	2.484e-02
54.05687	38.71877	2.505e-02
53.86072	38.53325	2.519e-02
53.70802	38.38864	2.532e-02
53.54918	38.23841	2.549e-02
53.35691	38.04517	2.566e-02
53.20646	37.91286	2.583e-02
53.03943	37.75331	2.593e-02
52.85696	37.57951	2.608e-02
52.68536	37.41474	2.631e-02
52.51081	37.24722	2.648e-02
52.34057	37.08366	2.660e-02
52.18394	36.93264	2.673e-02
52.00274	36.75754	2.691e-02
51.83516	36.59497	2.715e-02
51.66548	36.43013	2.727e-02
51.49895	36.26798	2.740e-02
51.30021	36.07372	2.752e-02
51.11510	35.88090	2.769e-02
50.95838	35.73868	2.787e-02
50.80569	35.58863	2.806e-02
